,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,CHHATTISGARH,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TELANGANA,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL,DELHI,CHANDIGARH
ANDHRA PRADESH,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARUNACHAL PRADESH,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSAM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIHAR,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHHATTISGARH,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
GOA,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
GUJARAT,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
HARYANA,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
HIMACHAL PRADESH,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
JHARKHAND,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
KARNATAKA,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
KERALA,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
MADHYA PRADESH,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
MAHARASHTRA,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
MANIPUR,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
MEGHALAYA,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
MIZORAM,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
NAGALAND,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
ODISHA,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
PUNJAB,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
RAJASTHAN,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
SIKKIM,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
TAMIL NADU,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
TELANGANA,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
TRIPURA,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
UTTAR PRADESH,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
UTTARAKHAND,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
WEST BENGAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
DELHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
CHANDIGARH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
